id	vehicle_sn	color	begin_date	firmware_version	total_flight_count	total_flight_duration	home_lat	home_lon	start_lat	start_lon	end_lat	end_lon	cam_id	duration	ground_distance	mean_wind_speed	max_wind_speed	max_temperature	min_altitude	max_altitude	max_height	max_dist	working_area_radius	working_area_ceiling	begin_battery_voltage	end_battery_voltage	min_return_to_home_ratio	link_quality	landing_type	mission_area	mission_param	flight_param	photo_count	log_file	bbx_file	base_logFile	gps_info	correction_source	
{88378f8a-5453-4c8e-ace4-69fa2d7aada8}	EB-03-14236	#0000ff	2019-06-24 04:38:37	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	2	39898.2	-1.3367805	36.9132742	-1.3375329	36.913626	-1.3367436	36.9133208	30	41.1998	111.496	0.00627589935105141	0.0947584435343742	36.5800018310547	1625.31005859375	1630.65161132812	3.7137451171875	11.2564210891724	500	150	12.3043	11.7294	47.6461524963379	0.93657026149968	2	-1.33482006,36.91340032;-1.33482006,36.91070163;-1.33751802,36.91070162;-1.33751802,36.91340032;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=2.80;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=90000.0;centroidLat=-1.336169;centroidLon=36.912051):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	0	logs/2019-06-24 07h35.33/EB-03-14236_0008_em.bb3	EB-03-14236_0008.bb3		minSat=7;maxSat=8;db=0.0;	-1	
{fc040ac2-af73-459a-9c69-2f6205ff7c03}	EB-03-14236	#0000ff	2019-06-25 08:57:41	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	3	41423.7	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0588119	39.6170317	30	1525.73	19604.5	8.39539810646556	10.0249328613281	71.0599975585938	124.854080200195	314.433471679688	191.301620483398	2814.96166992188	3000	220	12.428	11.0027	0.000630269409157336	0.990758771352683	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	152	logs/2019-06-25 10h19.02/EB-03-14236_0009_em.bb3	EB-03-14236_0009.bb3		minSat=8;maxSat=10;db=42.9;	-1	
{053874f3-7975-473b-9590-cdaf69f05528}	EB-03-14236	#0000ff	2019-06-25 09:24:31	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	4	42854.4	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0588504	39.6170378	30	1430.36	18437.9	8.65932400157305	10.037914276123	79.9400024414062	122.695236206055	313.301116943359	191.772277832031	2460.26806640625	3000	220	12.506	11.0687	0.661014199256897	0.99043868218192	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	165	logs/2019-06-25 10h19.02/EB-03-14236_0010_em.bb3	EB-03-14236_0010.bb3		minSat=7;maxSat=8;db=42.7;	-1	
{d87d7ec3-5272-4216-b4f5-75038e8cd9be}	EB-03-14236	#0000ff	2019-06-25 09:50:27	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	5	44239.2	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0585999	39.6168968	30	1385.25	18041.3	8.87257354220689	10.4353742599487	83.0800018310547	125.734169006348	314.340454101562	192.251602172852	2245.79174804688	3000	220	12.4503	10.9867	0.0852290838956833	0.995870139020824	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	166	logs/2019-06-25 10h19.02/EB-03-14236_0011_em.bb3	EB-03-14236_0011.bb3		minSat=8;maxSat=10;db=42.8;	-1	
{cdc92d3e-ca28-4420-962c-a9e7689920b7}	EB-03-14236	#0000ff	2019-06-25 10:19:27	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	6	45457.8	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0588177	39.6170286	30	1218.83	15931.5	9.61536432956743	10.5991134643555	83.629997253418	125.879676818848	309.717346191406	185.553497314453	2071.40454101562	3000	220	12.4333	11.0408	0.279362082481384	0.993635697130586	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	160	logs/2019-06-25 10h19.02/EB-03-14236_0012_em.bb3	EB-03-14236_0012.bb3		minSat=9;maxSat=10;db=42.9;	-1	
{175888e8-3c35-47e4-aee9-839b7cae8f09}	EB-03-14236	#0000ff	2019-06-25 10:42:32	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	7	46694.7	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0588292	39.6170356	30	1237.68	15701.8	9.74596320850987	10.6870813369751	81.9400024414062	125.647232055664	308.987030029297	184.883178710938	1975.92614746094	3000	220	12.2133	11.013	0.0341152548789978	0.979800257743701	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	192	logs/2019-06-25 10h19.02/EB-03-14236_0013_em.bb3	EB-03-14236_0013.bb3		minSat=9;maxSat=10;db=43.0;	-1	
{b8e4aafb-6e88-4f0b-a091-3271abf470be}	EB-03-14236	#0000ff	2019-06-25 11:05:20	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	8	47668.2	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0588206	39.6170391	30	973.174	12345.6	9.12082532231377	10.6870813369751	80.9499969482422	122.628776550293	310.327087402344	187.434234619141	1961.41833496094	3000	220	12.0028	11.0622	0.295416533946991	0.991338460100167	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	136	logs/2019-06-25 10h19.02/EB-03-14236_0014_em.bb3	EB-03-14236_0014.bb3		minSat=9;maxSat=10;db=43.1;	-1	
{7f09c6ed-d4f1-4d9a-89e2-435fd8701054}	EB-03-14236	#0000ff	2019-06-25 11:53:41	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	9	48958.7	-3.0587822	39.617001	-3.0587502	39.6168843	-3.0588638	39.6170485	30	1290.67	16915.5	8.75130382273816	10.6870813369751	69.5199966430664	124.488731384277	306.890380859375	183.126525878906	2054.88061523438	3000	220	12.1879	11.0351	0.0195069629698992	0.990008611670938	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	187	logs/2019-06-25 10h19.02/EB-03-14236_0015_em.bb3	EB-03-14236_0015.bb3		minSat=9;maxSat=12;db=42.7;	-1	
{1a372f23-6598-4831-b5cd-44c20b6cb2c7}	EB-03-14236	#0000ff	2019-06-25 12:32:47	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	10	50024.6	-3.0633168	39.6192984	-3.0633058	39.6193045	-3.0633872	39.6193381	30	1065.56	13209.2	8.42534281367262	10.6870813369751	71.1600036621094	133.100051879883	301.793029785156	164.232177734375	2158.771484375	3000	220	11.88	10.9722	0.0643617138266563	0.982402515558891	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	117	logs/2019-06-25 10h19.02/EB-03-14236_0016_em.bb3	EB-03-14236_0016.bb3		minSat=9;maxSat=11;db=42.7;	-1	
{5339c65b-8ed3-4931-8653-d053d6d9925f}	EB-03-14236	#0000ff	2019-06-25 13:12:36	drone=3.5.0126;gnss=5.00(29857);payload=1.3.0	11	51103	-3.0633168	39.6192984	-3.0633058	39.6193045	-3.0634439	39.6193319	30	1078.04	13864.3	8.22669075433598	10.1239099502563	71.7399978637695	134.825622558594	294.281005859375	159.854156494141	2220.46240234375	3000	220	11.9126	11.1015	1.14800763130188	0.98625197150889	2	-3.05918829,39.61808792;-3.05364179,39.61337635;-3.05033548,39.61280296;-3.04792601,39.61082711;-3.04609263,39.60705857;-3.04537690,39.60407105;-3.04368094,39.60018944;-3.04366897,39.59772339;-3.07551511,39.60266441;-3.08729114,39.61211375;-3.08550504,39.61958883;	HorizontalMapping(longitudinalOverlap=0.60;lateralOverlap=0.70;resolution=4.00;reversed=0;perpendicular=0;interlaced=0;elevation=1;takeOff=0;missionArea=7579265.3;centroidLat=-3.065355;centroidLon=39.609345):	windCheck=1;poorGpsCheck=1;groundProximityCheck=1;cameraCheck=1;enduranceCheck=1;linkLostCheck=1;groundSensor=1;allowedManual=1;	142	logs/2019-06-25 10h19.02/EB-03-14236_0017_em.bb3	EB-03-14236_0017.bb3		minSat=9;maxSat=11;db=42.6;	-1	
